,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
0,ACCT 351,001,Intermediate Financial Acct 1,12/16/2019,9:00,GYM,Fieldhouse,37-40,AAA,ZZZ
1,ACCT 351,002,Intermediate Financial Acct 1,12/16/2019,9:00,GYM,Fieldhouse,37-40,AAA,ZZZ
2,ACCT 351,003,Intermediate Financial Acct 1,12/16/2019,9:00,GYM,Fieldhouse,37-40,AAA,ZZZ
3,ACCT 352,001,Intermediate Financial Acct 2,12/16/2019,9:00,GYM,main gym,31-35,AAA,ZZZ
4,ACCT 352,002,Intermediate Financial Acct 2,12/16/2019,9:00,GYM,main gym,31-35,AAA,ZZZ
5,ACCT 354,001,Financial Statement Analysis,12/18/2019,9:00,GYM,Fieldhouse,29-31,AAA,ZZZ
6,ACCT 354,002,Financial Statement Analysis,12/18/2019,9:00,GYM,Fieldhouse,29-31,AAA,ZZZ
7,ACCT 361,001,Management Accounting,12/9/2019,9:00,GYM,main gym,2-11,AAA,ZZZ
8,ACCT 361,002,Management Accounting,12/9/2019,9:00,GYM,main gym,2-11,AAA,ZZZ
9,ACCT 361,003,Management Accounting,12/9/2019,9:00,GYM,main gym,2-11,AAA,ZZZ
10,ACCT 362,001,Cost Accounting,12/5/2019,9:00,GYM,main gym,41-42,AAA,ZZZ
11,ACCT 385,001,Principles of Taxation,12/5/2019,14:00,GYM,Fieldhouse,23-25,AAA,ZZZ
12,ACCT 385,002,Principles of Taxation,12/5/2019,14:00,GYM,Fieldhouse,23-25,AAA,ZZZ
13,ACCT 453,001,Advanced Financial Accounting,12/9/2019,9:00,GYM,Studio 2,1-6,AAA,ZZZ
14,ACCT 453,002,Advanced Financial Accounting,12/9/2019,9:00,GYM,Studio 2,1-6,AAA,ZZZ
15,ACCT 463,001,Management Control,12/16/2019,18:30,GYM,Studio 1,1-4,AAA,ZZZ
16,ACCT 463,002,Management Control,12/16/2019,18:30,GYM,Studio 1,1-4,AAA,ZZZ
17,ACCT 475,001,Principles of Auditing,12/17/2019,14:00,GYM,Fieldhouse,39-40,AAA,ZZZ
18,ACCT 486,001,Business Taxation 2,12/12/2019,18:30,GYM,Studio 2,1-6,AAA,ZZZ
19,ACCT 486,002,Business Taxation 2,12/12/2019,18:30,GYM,Studio 2,1-6,AAA,ZZZ
20,ACCT 683,045,Practice of Taxation,4-Dec,9:00,BRONFMAN,205,,AAA,ZZZ
21,ACCT 687,045,Assurance Services,4-Dec,9:00,ARMST,075,,AAA,ZZZ
22,AEBI 120,001,General Biology,12/6/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
23,AEBI 210,001,Organisms 1,12/12/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
24,AECH 110,001,General Chemistry 1,12/9/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
25,AEHM 205,001,Science Literacy,12/17/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
26,AEHM 330,001,Academic & Scientific Writing,12/5/2019,14:00,TAKE,HOME,,AAA,ZZZ
27,AEMA 101,001,Calculus 1,12/18/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
28,AEMA 202,001,Intermediate Calculus,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
29,AEMA 310,001,Statistical Methods 1,12/9/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
30,AEMA 610,001,Statistical Methods 2,12/17/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
31,AEPH 112,001,Introductory Physics 1,12/11/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
32,AEPH 113,001,Physics 1,12/11/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
33,AGEC 200,001,Principles of Microeconomics,12/16/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
34,AGEC 330,001,Agriculture and Food Markets,12/16/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
35,AGEC 332,001,Farm Management and Finance,12/6/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
36,AGEC 333,001,Resource Economics,12/11/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
37,AGEC 491,001,Research & Methodology,12/10/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
38,AGRI 215,001,Agro-Ecosystems Field Course,12/13/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
39,ANAT 214,001,Systemic Human Anatomy,12/12/2019,9:00,SADB,M-1 & 1/56,,AAA,ZZZ
40,ANAT 214,001,Systemic Human Anatomy,12/18/2019,14:00,SADB,2/49,,AAA,ZZZ
41,ANAT 261,001,Intro to Dynamic Histology,12/11/2019,9:00,SADB,1/56,,AAA,ZZZ
42,ANAT 261,001,Intro to Dynamic Histology,12/13/2019,14:00,GYM,Fieldhouse,37-46,AAA,ZZZ
43,ANAT 315,001,Clin Hum Musculoskeletal Anat,12/5/2019,14:00,SADB,2/49,,AAA,ZZZ
44,ANAT 315,001,Clin Hum Musculoskeletal Anat,12/6/2019,9:00,GYM,Fieldhouse,1-7,AAA,ZZZ
45,ANAT 321,001,Circuitry of the Human Brain,12/10/2019,9:00,GYM,main gym,22-37,AAA,ZZZ
46,ANAT 323,001,Clinical Neuroanatomy,12/16/2019,14:00,SADB,2/49,,AAA,ZZZ
47,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
48,ANAT 323,001,Clinical Neuroanatomy,12/19/2019,9:00,GYM,Studio 2,1-7,AAA,ZZZ
49,ANAT 365,001,Cellular Trafficking,12/11/2019,14:00,GYM,Fieldhouse,35-36,AAA,ZZZ
50,ANAT 381,001,Experimental Embryology,12/19/2019,14:00,GYM,main gym,3-7,AAA,ZZZ
51,ANSC 250,001,Principles of Animal Science,12/5/2019,9:00,CENTEN,Ballroom,,AAA,ZZZ
52,ANSC 323,001,Mammalian Physiology,12/11/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
53,ANSC 326,001,Fundamentals of Pop'n Genetics,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
54,ANSC 504,001,Population Genetics,12/10/2019,14:00,CENTEN,Ballroom,,AAA,ZZZ
55,ANTH 202,001,Socio-Cultural Anthropology,12/5/2019,14:00,GYM,Fieldhouse,26-37,AAA,ZZZ
56,ANTH 227,001,Medical Anthropology,12/10/2019,18:30,GYM,Fieldhouse,4-13,AAA,ZZZ
57,ANTH 325,001,Anthropology of the Self,12/16/2019,18:30,TAKE,HOME,,AAA,ZZZ
58,ANTH 326,001,Anthropology of Latin America,12/6/2019,14:00,GYM,main gym,22-26,AAA,ZZZ
59,ANTH 352,001,Hist of Anthropological Theory,12/13/2019,18:30,TAKE,HOME,,AAA,ZZZ
60,ANTH 412,001,Topics:Anthropological Theory,12/13/2019,18:30,TAKE,HOME,,AAA,ZZZ
61,ARCH 201,001,"Communication, Behaviour&Arch",Dec 5/6,9:00,MDHAR,114,,AAA,ZZZ
62,ARCH 303,001,Design and Construction 1,Dec 5/6,9:00,MDHAR,101,,AAA,ZZZ
63,ARCH 303,002,Design and Construction 1,Dec 5/6,9:00,MDHAR,102,,AAA,ZZZ
64,ARCH 303,003,Design and Construction 1,Dec 5/6,9:00,MDHAR,101,,AAA,ZZZ
65,ARCH 303,007,Design and Construction 1,Dec 5/6,9:00,MDHAR,102,,AAA,ZZZ
66,ARCH 354,001,Architectural History 3,12/13/2019,9:00,GYM,Fieldhouse,41-42,AAA,ZZZ
67,ARCH 354,002,Architectural History 3,12/13/2019,9:00,GYM,Fieldhouse,41-42,AAA,ZZZ
68,ARCH 375,001,Landscape,12/10/2019,9:00,MDHAR,G-10,,AAA,ZZZ
69,ARCH 405,001,Design and Construction 3,Dec 9/10,9:00,MDHAR,114,,AAA,ZZZ
70,ARCH 405,002,Design and Construction 3,Dec 9/10,9:00,MDHAR,101,,AAA,ZZZ
71,ARCH 405,003,Design and Construction 3,Dec 9/10,9:00,MDHAR,102,,AAA,ZZZ
72,ARCH 405,007,Design and Construction 3,Dec 9/10,9:00,MDHAR,207,,AAA,ZZZ
73,ARCH 672,001,Architectural Design 1,Dec 11/12/13,9:00,MDHAR,114,,AAA,ZZZ
74,ARCH 672,003,Architectural Design 1,Dec 11/12/13,9:00,MDHAR,101,,AAA,ZZZ
75,ARCH 672,005,Architectural Design 1,Dec 11/12/13,9:00,MDHAR,102,,AAA,ZZZ
76,ARCH 677,001,Architectural Design 3,Dec 16/17,9:00,MDHAR,114,,AAA,ZZZ
77,ARCH 677,003,Architectural Design 3,Dec 16/17,9:00,MDHAR,101,,AAA,ZZZ
78,ARCH 683,001,Directed Research Project,Dec 18/19/20,9:00,MDHAR,114,,AAA,ZZZ
79,ARTH 223,001,Intro Ital Renai Art 1300-1500,12/5/2019,14:00,MAASS,112,,AAA,ZZZ
80,ARTH 321,001,Visual Culture-Dutch Republic,12/9/2019,18:30,TAKE,HOME,,AAA,ZZZ
81,ARTH 339,001,Critical Issues-Contemp Art,12/16/2019,14:00,ARTS,W-215,,AAA,ZZZ
82,ARTH 354,001,Selected Topics Art History 2,12/12/2019,18:30,LEACOCK,232,,AAA,ZZZ
83,ATOC 181,001,Intro to Atmospheric Science,12/9/2019,9:00,GYM,305,1-6,AAA,LIN
84,ATOC 181,001,Intro to Atmospheric Science,12/9/2019,9:00,GYM,408,1-6,LOI,ZZZ
85,ATOC 185,001,Natural Disasters,12/19/2019,18:30,GYM,main gym,3-41,AAA,ZZZ
86,ATOC 214,001,Intro:Physics of the Atmosph,12/16/2019,14:00,BURN,1B45,,AAA,ZZZ
87,ATOC 312,001,Rotating Fluid Dynamics,12/12/2019,9:00,BURN,719A,,AAA,ZZZ
88,ATOC 315,001,Thermodynamics and Convection,12/16/2019,14:00,BURN,719A,,AAA,ZZZ
89,ATOC 404,001,Climate Physics,12/18/2019,9:00,BURN,719A,,AAA,ZZZ
90,ATOC 512,001,Atmospheric & Oceanic Dynamics,12/20/2019,9:00,BURN,719A,,AAA,ZZZ
91,ATOC 531,001,Dynamics of Current Climates,12/5/2019,9:00,BURN,719A,,AAA,ZZZ
92,ATOC 540,001,Synoptic Meteorology 1,12/19/2019,9:00,BURN,719A,,AAA,ZZZ
93,BIEN 200,001,Introduction to Bioengineering,12/13/2019,9:00,GYM,Fieldhouse,43-45,AAA,ZZZ
94,BIEN 290,001,Bioengineering Measurement Lab,12/5/2019,14:00,ENGTR,1100,,AAA,ZZZ
95,COURSE NUMBER,SECTION,TITLE,EXAM DATE,TIME,BUILDING,ROOM,ROW,FROM,TO
96,BIEN 310,001,Intro to Biomolecular Eng,12/12/2019,14:00,ENGTR,0060,,AAA,ZZZ
